Tarif_Adi,Lemmatized_Metin
Fırında Kestane Kebap,kebaplık kestane kestanelerin hepsini küçük bıçak ile sırtlarından boylu boyunca çizin kestaneleri derin bir kap içine koyun ve üzerlerine çıkacak kadar su dökün dakika kadar bekletin kestanelerin suyunu süzün ve hafifçe kurulayın kestaneleri fırın tepsisi içine sırayla dizin önceden ısıtılmış derece fırına verin kestanelerin kabukları açılana kadar yaklaşık dakika pişirin
Fırında Lahana Yemeği,beyaz lahana soğan havuç kapya biber sarımsak domates salçası tere yağı zeytinyağı kırmızı pul biber karabiber tuz un süt rendelenmiş kaşar peynir lahananın kök kısmını çıkartın ve ortadan ikiye kesin lahanayı ince ve uzun şeritler halinde doğrayın soğanı ve sarımsağı ince ince doğrayın havucu rendenin iri tarafı ile rendeleyin kapya biberi küçük küpler şeklinde doğrayın geniş bir tencere içine tereyağı ve zeytinyağı koyup ısıtın doğranmış soğanı ekleyip hafifçe yumuşayana kadar kavurun rendelenmiş havucu doğranmış kapya biberi ve doğranmış sarımsakları ekleyin domates salçası koyun ve salçanın kokusu çıkana kadar sürekli karıştırarak kavurun doğranmış lahanaları koyun ve tencerenin kapağını kapatın lahanalar suyunu salana kadar yaklaşık dakika pişirin lahanaları güzelce karıştırın ve damak tadınıza göre tuz karabiber ve kırmızı pul biber ekleyip tekrardan karıştırın tencerenin kapağını kapatın ve lahanalar suyunu çekip yumuşayana kadar pişirmeye devam edin beşamel sos için tereyağı koyup eritin yağın üzerine un ekleyin ve unun kokusu çıkana kadar sürekli karıştırarak kavurun kavrulan unun üzerine soğuk sütü azar azar döküp topaklanma olmaması için bir yandan da hızlı bir şekilde karıştırın beşamel sos kaynayıp hafifçe koyu bir kıvam alana kadar pişirmeye devam edin son olarak damak tadınıza göre tuz ve karabiber koyup karıştırın pişirdiğiniz lahana yemeğini orta büyüklükte bir fırın kabı içine koyup güzelce yayın hazırladığınız beşamel sosu lahana yemeğinin üzerine dökün ve rendelenmiş kaşar peynir serpiştirin önceden ısıtılmış derece fırına verin üzeri hafifçe kızarana kadar pişirin
Fırında Lavaş Pizza,lavaş ekmeği çeri domates küçük boy kapya biber yeşil dolma zeytin siyah zeytin sucuk rendelenmiş kaşar peynir domates salçası zeytinyağı su kekik tuz sosu hazırlayın malzemeleri hazırlayın lavaş ekmeğini yağlı kağıt serili fırın tepsisine koyun salçalı sos karışımından sürün rendelenmiş kaşar peynir serpiştirin lavaşın üzerine tekrar adet lavaş yerleştirin sosun üzerine rendelenmiş kaşar peynir serpiştirin sucuk domates ve kapya biber dilimlerini güzelce yerleştirin yeşil zeytin ve siyah zeytin dilimleri serpiştirin hazırladığınız lavaş pizzayı önceden ısıtılmış derece fırına verin sucuklar pişip kaşar peynirler iyice eriyene kadar pişirin lavaş pizza piştikten sonra üzerine biraz kaşar peynir serpiştirip tekrar fırına verin kaşar peynirler eriyene kadar fırının içinde bekletin
Fırında Makarna,fırın makarna tere yağı un süt tuz rendelenmiş kaşar peynir kaynayan suyun içine yarım paket fırın makarnayı ve biraz tuz koyup yumuşayana kadar haşlayın eriyen yağın üzerine buçuk yemek kaşığı un ekleyin unu dk kadar kavurun kavrulan unun üzerine buçuk su bardağı sütü azar azar döküp unun topaklanmaması için hızlı bir şekilde karıştırın hafifçe koyu bir kıvam alana kadar pişirin son olarak az miktar tuz koyun karıştırıp ocaktan alın haşlanan makarnanın suyunu süzün makarnayı derin bir kaba koyun üzerine hazırladığınız sosu dökün makarnayı sos ile beraber iyice karıştırın soslu makarnayı yağlanmış küçük dikdörtgen borcam içine koyup yayın üzerine bolca rendelenmiş kaşar peynir serpiştirin önceden ısıtılmış derece fırına verin üzeri iyice kızarana kadar yaklaşık dakika pişirin fırında makarna piştikten sonra dakika kadar dinlenmeye bırakın
Fırında Mantar Graten,fındık mantar tereyağı tuz kaşar peynir mantarları nemli bir bez ile silin i steğe göre kabuklarını soyun bir tavaya yarım yemek kaşığı tereyağ koyup eritin ardından mantarları tavaya koyun üzeine az miktar tuz ekleyin dakika kavurun daha sonra kavrulan mantarları güveç içine koyun üzerine rendelenmiş kaşar peynir serpiştirin mantar grateni önceden ısıtılmış dereceli fırına verin üzeri kızarana kadar yaklaşık dakika pişirin i steğe göre mantar gratenin pişmesine yakın gratenin üzerine sumak da serpiştirebilirsiniz pişen mantar grateni fırından çıkartın fırında mantar grateni sıcak olarak servis edebilirsiniz
Fırında Mısır Unlu Patates Kızartması,patates mısır unu zeytinyağı kırmızı pul biber kekik tuz patateslerin kabuğunu soyup yıkayın elma dilimi şeklinde kesin patatesleri derin bir kaba koyun patateslerin üzerine zeytinyağı gezdirin mısır unu tuz kekik ve kırmızı pul biber ekleyin i yice harmanlayın mısır unlu baharatlı patatesleri yağlı kağıt serili fırın tepsisi içine dizin önceden ısıtılmış derece fırına verin üzerleri kızarana kadar yaklaşık dakika pişirin
Fırında Peynirli Sucuklu Ekmek,ekmek dilimi beyaz peynir rendelenmiş kaşar peynir sucuk yumurta kırmızı pul biber orta boy bir kap içine gr kadar beyaz peynir koyun peyniri çatal yardımı ile ezerek parçalayın daha sonra peynirin üzerine dilim sucuğu küçük küçük doğrayıp ekleyin ardından çay bardağı rendelenmiş kaşar peynir ve damak tadınıza göre kırmızı pul biber koyun son olarak malzemelerin üzerine adet yumurta kırın tüm malzemelerin güzelce karışmasını sağlayın diğer taraftan adet orta boy ekmek dilimini yağlı kağıt serili fırın tepsisi içine dizin ekmek dilimlerinin üzerine hazırladığınız peynirli sucuklu karışımdan koyup güzelce yayın önceden ısıtılmış derece fırına verip üzerleri hafifçe kızarana kadar pişirin
Fırında Sebze Dizmesi,patlıcan kabak patates domates zeytinyağı sarımsak tuz karabiber kuru nane kırmızı toz biber kimyon domates salçası ılık su adet orta boy patlıcan ve kabağı kabuğu ile birlikte halka şeklinde ince ince doğrayın adet küçük boy patatesin kabuğunu soyup aynı şekilde halka şeklinde ince ince doğrayın adet küçük boy domatesi de kabuğu ile birlikte halka şeklinde doğrayın diş sarımsağı da küçük küçük doğrayın sebzelerin üzerine damak tadınıza göre tuz karabiber kuru nane kırmızı toz biber ve kimyon ekleyin fırın tepsisi içine bir patates bir kabak bir patlıcan ve bir domates olacak şekilde dizin son olarak yarım çay bardağı zeytinyağının yarısını sebzelerin her yerine gelecek şekilde dökün üzerlerinin hafifçe kızarması için yaklaşık dakika kadar pişirin salçalı sosu için bir kase içine tatlı kaşığı domates salçası koyun üzerine yarım su bardağı ılık suyu azar azar dökün salçalı sosu sebzelerin üzerine güzelce gezdirin ardından tekrar fırına verip dakika kadar kontrollü bir şekilde pişirin
Fırında Tavuk Kanat,tavuk kanat domates salçası zeytinyağı sarımsak kırmızı toz biber kekik karabiber kimyon köri tuz tavuk kanatlarını yıkayıp suyunun süzülmesini sağlayın tavuk kanatların üzerine bıçak yardımı ile çizikler atın domates salçası zeytinyağı sarımsak kırmızı toz biber kekik karabiber kimyon köri ve tuzu karıştırın tavuk kanatlarını sosun içine koyun ve elinizle karıştırarak kanatların her tarafının sosa bulanmasını sağlayın kabın üzerini streç film ile örtün ve tavuk kanatları buzdolabında en az saat kadar dinlenmeye bırakın dinlenen soslu tavuk kanatlarını orta boy bir fırın kabı içine dizin önceden ısıtılmış derece fırına verin üzerleri iyice kızarana kadar yaklaşık dakika pişirin
Fırında Uskumru,uskumru balığı soğan domates kırmızı kapya biber yeşil biber limon zeytinyağı tuz maydanoz uskumru balıklarını ayıklayıp kafa kısımlarını kopartın balığın orta kılçığını çıkartmak için kılçığın iki kenarından bıçak yardımı ile dikkatlice kesin ve balığı kelebek gibi açın balıkları yıkayın ve kevgir içinde bekleterek suyunun süzülmesini sağlayın soğanı ay şeklinde ince ince doğrayın domatesi minik küpler halinde doğrayın kırmızı kapya biber ve yeşil biberinde çekirdek kısımlarını temizleyip küçük küçük doğrayın doğradığınız tüm sebzeleri orta boy bir fırın kabı içine koyun üzerlerine biraz tuz serpiştirip karıştırın sebzeleri fırın kabının tabanına güzelce yayın ardından uskumru balıklarını deri kısımları yukarı gelecek şekilde sebzelerin üzerine yerleştirin sosu için bir kase içine yemek kaşığı zeytinyağı yarım limon suyu ve biraz tuz koyup güzelce karıştırın hazırladığınız sosu kaşık yardımı ile sebzelerin ve balıkların üzerine güzelce dökün önceden ısıtılmış derece fırına verin yaklaşık dakika kadar pişirin fırında uskumru fileto piştikten sonra üzerine tutam ince ince doğranmış maydanoz serpiştirip servis edebilirsiniz
Fırında Mücver,patates havuç ıspanak pırasa kırmızı kapya biber kabak tuz yumurta un kabartma tozu sıvı yağ karabiber rendelenmiş kaşar peynir rendelediğiniz patates ve kabağın suyunu iyice sıkıp genişçe bir kap içine koyun diğer doğranmış sebzeleri de bu kap içine alın üzerlerine tatlı kaşığı tuz serpiştirip iyice karıştırın sebzelerin büyüklüğüne göre tuz oranını kendi damak tadınıza göre ayarlayabilirsiniz diğer tarafta başka bir kap içine adet yumurta kırın üzerine yarım çay bardağı sıvı yağ yemek kaşığı un çay kaşığı kabartma tozu çay kaşığı tuz ve yarım çay kaşığı karabiber ekleyin tüm malzemeleri tel çırpıcı ile iyice çırpın hazırladığınız yumurtalı karışımı sebzelerin üzerine dökün kaşık yardımı ile iyice karıştırın yumurtalı sebzeli karışımı yağlı kağıt serili orta boy bir fırın kabı içine eşit bir şekilde yayın önceden ısıtılmış derece fırına verin yaklaşık dakika kadar pişirin fırında mücver piştikten sonra üzerine rendelenmiş kaşar peynir serpiştirin tekrar fırına verip dakika kadar daha pişirin fırında mücver piştikten sonra dakika kadar dinlenmeye bırakın ardından dilimleyerek servis edebilirsiniz
Hasanpaşa Köftesi,köftelik kıyma yumurta kuru soğan maydanoz galeta unu tuz karabiber kimyon patates süt tereyağı kaşar peynir domates salçası su tuz orta boy derin bir kap içine yarım kilo köftelik kıyma koyun üzerine adet kuru soğan rendeleyin ardından kaba adet yumurta kırın yemek kaşığı galeta unu tutam ince ince doğranmış maydanoz damak tadınıza göre tuz karabiber ve kimyon ekleyin köfte harcını eliniz ile iyice yoğurun hazırladığınız köfte harcından yumurtadan biraz büyük parçalar alıp avucunuzda yuvarlayın elinizi hafifçe ıslatıp başparmağınız ile köftelerin içini oyarak çanak şeklini verin çanaklar küçük olmasın çünkü pişince küçülüyorlar ardından köfteleri yağlanmış fırın tepsisi içine dizin önceden ısıtılmış derece fırına verin köfteler kızarana kadar pişirin diğer tarafta adet orta boy patatesin kabuğunu soyup parçaya bölün derin bir tencere içine koyup üzerini geçecek kadar su dökün patatesler yumuşayana kadar haşlayın daha sonra haşlanan patateslerin suyunu süzün patatesler sıcak iken üzerine yemek kaşığı tereyağı yarım su bardağı kadar süt yemek kaşığı rendelenmiş kaşar peynir ve tuz ekleyin patatesleri iyice ezerek püre haline getirin kızaran köfteleri fırından çıkartıp hafifçe çukurumsu bir orta boy fırın kabı içine alın köftelerin içlerini patates püresi ile doldurun pürenin üzerine rendelenmiş kaşar peynir serpiştirin domates sosu için bir kap içine yemek kaşığı domates salçası koyun üzerine su bardağı ılık su ve biraz tuz ekleyin salçayı karıştırarak açın hazırladığınız domates sosunu köftelerin kenarına dökün hasanpaşa köftesini önceden ısıtılmış derece fırına verin üzerleri kızarana kadar pişirin
Mantar Graten,kültür mantarı tere yağı limon tuz rendelenmiş kaşar peynir mantarları nemli bir bez ile temizleyip isteğe göre kabuklarını soyun mantarları orta boy derin bir tencere içine koyun üzerlerini geçecek kadar su dökün mantarların kararmaması için suyuna adet küçük boy limon suyu ekleyip karıştırın mantarlar yumuşayana kadar haşlayın mantarlar yumuşadıktan sonra suyunu süzüp ılımaya bırakın mantarları çok küçük olmayacak şekilde dilimleyin diğer tarafta orta boy bir tava içine yemek kaşığı kadar tereyağı koyup eritin yağın üzerine dilimlediğiniz mantarları ekleyin damak tadınıza göre tuz koyup mantarları dakika kadar kavurun daha sonra kavrulan mantarları güveç içine koyun mantarların üzerine rendelenmiş kaşar peynir serpiştirip küçük küçük parçalar halinde tereyağı ekleyin hazırladığınız mantar grateni önceden ısıtılmış derece fırına verin üzeri kızarana kadar pişirin
Nohut Tava,nohut soğan domates kapya biber sivri biber sarımsak domates salçası zeytinyağı kimyon karabiber kırmızı toz biber tuz adet orta boy soğanı ay şeklinde ince ince doğrayın adet orta boy domatesin kabuğunu soyup küçük küpler halinde doğrayın adet kapya biber adet sivri biber ve diş sarımsağı da küçük küçük doğrayın orta boy yuvarlak bir fırın kabı içine su bardağı haşlanmış nohut koyun nohutların üzerine doğranmış domatesleri ve biberleri ekleyin ardından kaba doğranmış soğanları ve sarımsakları koyun daha sonra malzemelerin üzerine yemek kaşığı domates salçası çay kaşığı kadar kimyon tatlı kaşığı kırmızı toz biber yarım çay kaşığı karabiber ve tatlı kaşığı tuz ekleyin son olarak yarım çay bardağı zeytinyağı dökün kaşık yardımı ile tüm malzemelerin iyice karışmasını sağlayın ve fırın kabının tabanına eliniz ile güzelce yayın hazırladığınız nohut tavanın üzerine musluk altında ıslatıp eliniz ile buruşturduğunuz bir yağlı kağıt serip kenar kısımlarını sıkıştırarak kapatın önceden ısıtılmış derece fırına verin yaklaşık dakika kadar kontrollü bir şekilde pişirin pişme süresi esnasında nohut tavayı kez karıştırıp üzeri kapalı bir şekilde pişirmeye devam edin fırında nohut tava piştikten sonra üzerine ince ince doğranmış maydanoz serpiştirip yanında çırpılmış yoğurt ile servis edebilirsiniz
Patates Kabuğu Cipsi,patates zeytinyağı kırmızı toz biber sarımsak tozu kırmızı pul biber karabiber tuz patatesleri temiz bir fırça yardımı ile musluk altında tamamen temizlenene kadar ovarak yıkayın patatesleri iyice kurulayın patateslerin kabuğunu soyun kabukların üzerine zeytinyağı dökün damak tadınıza göre tuz karabiber kırmızı toz biber kırmızı pul biber ve sarımsak tozu ekleyin tüm malzemeleri eliniz ile güzelce harmanlayın baharatların patates kabukları ile iyice birleşmesini sağlayın hazırladığınız baharatlı patates kabuklarını yağlı kağıt serili fırın tepsisi içine koyun eliniz ile patates kabuklarını üst üste gelmeyecek şekilde yan yana dizin önceden ısıtılmış derece fırına verin üzerleri güzelce kızarana kadar yaklaşık dakika pişirin
Pırasalı Patates Graten,ince pırasa orta boy patates orta boy havuç un süt zeytinyağı tuz karabiber kırmızı toz biber rendelenmiş kaşar peynir adet ince pırasayı güzelce temizleyip halkalar halinde ince ince doğrayın adet orta boy patatesin kabuğunu soyup çok büyük olmayacak şekilde orta incelikte doğrayın adet orta boy havucun da kabuğunu soyup rendeleyin orta boy geniş bir tava içine yemek kaşığı zeytinyağı döküp ısıtın yağın üzerine doğranmış patatesleri koyup hafifçe yumuşayana kadar sürekli karıştırarak kavurun kavrulan patateslerin üzerine doğranmış pırasaları ve rendelenmiş havuçları ekleyin pırasaları da hafifçe yumuşayana kadar kavurun kavrulan sebzelerin üzerine damak tadınıza göre tuz karabiber ve kırmızı toz biber ekleyin baharatlar ile birlikte sebzeleri güzelce karıştırın daha sonra sebzelerin üzerine buçuk yemek kaşığı un ekleyin unun kokusu çıkana kadar sebzeler ile birlikte güzelce kavurun son olarak sebzelerin üzerine buçuk su bardağı sütü azar azar döküp bir yandan da sürekli karıştırmaya devam edin sosu krema kıvamı alana kadar sürekli karıştırarak pişirin ardından ocak üzerinden alın hazırladığınız pırasalı patatesli harcı orta büyüklükte yağlanmış bir fırın kabı içine koyun harcı spatula yardımı ile güzelce yayın son olarak harcın üzerine bolca rendelenmiş kaşar peynir serpiştirin önceden ısıtılmış derece fırına verin üzeri güzelce kızarana kadar pişirin fırında pırasalı patates graten piştikten sonra dakika dinlenmeye bırakın ardından dilimleyip sıcak olarak servis edebilirsiniz
Ramazan Pidesinden Yalancı İskender,kıyma ramazan pidesi soğan maydanoz yoğurt tuz karabiber domates salçası biber salçası domates püresi tere yağı sarımsak kıymayı tavada kavurun soğanı ekleyin ve pişirin maydanoz tuz ve karabiber ekleyin domates sosu hazırlayın ramazan pidesini kızartın yoğurt ile domates sosunu karıştırın kıyma harcını pidelerin üzerine yayın kalan domates sosunu pidelerin üzerine dökün
Sarımsaklı Peynirli Patates,patates nişasta zeytinyağı sarımsak galeta unu tulum peyniri kekik kırmızı toz biber tuz silme karabiber patatesleri soyup yıkayın patatesleri elma dilimi şeklinde doğrayın patatesleri tuzlu sıcak su içinde dakika kadar bekletin patateslerin suyunu süzün patateslerin iyice kurumasını sağlayın patatesleri derin bir kaba alın üzerlerine zeytinyağı kekik kırmızı toz biber tuz silme karabiber ve nişasta ekleyin rendelenmiş sarımsak ve galeta unu koyun patateslerin üzerine tulum peyniri ekleyin tüm malzemeleri eliniz ile güzelce harmanlayın hazırladığınız sarımsaklı peynirli patatesi yağlı kağıt serili fırın tepsisi içine yan yana olacak şekilde dizin önceden ısıtılmış derece fırına verin patateslerin üzerleri güzelce kızarana kadar yaklaşık dakika pişirin
Sucuklu Ekmek Dilimleri,tost ekmeği sucuk dilimleri çeri domates dilimleri rendelenmiş kaşar peynir domates salçası ketçap kekik zeytinyağı ekmeklerin üzerine süreceğiniz sosu hazırlayın küçük bir kase içine yemek kaşığı ketçap tatlı kaşığı domates salçası çay kaşığı kekik ve yemek kaşığı zeytinyağı koyun tüm sos malzemelerini iyice karıştırın adet büyük boy tost ekmek dilimini yağlı kağıt serili fırın tepsisi içine dizin ekmeklerin üzerine hazırladığınız sosu paylaştırıp güzelce yayın her bir ekmek diliminin üzerine rendelenmiş kaşar peynir serpiştirin kaşar peynirin üzerine de istediğiniz miktarda sucuk dilimleri ve domates dilimleri yerleştirin hazırladığınız sucuklu kaşarlı ekmek dilimlerini önceden ısıtılmış derece fırına verin kaşar peynirler iyice eriyene kadar pişirin
Tavada Kaşarlı Mantar,kültür mantarı tere yağı tuz rendelenmiş kaşar peynir kekik kırmızı pul biber mantarların sap kısımlarını dikkatli bir şekilde çıkartın mantarların kabuğunu soyup nemli bir bez ile temizleyin mantarları orta boyuttaki bir tava içine güzelce dizin üzerlerine damak tadınıza göre tuz serpiştirin her bir mantarın orta kısmına küçük küçük tereyağı parçaları koyun tavayı ocak üzerine alıp kapağını kapatın mantarlar suyunu salıp tavadaki suyunu çekene kadar pişirin mantarların orta kısımlarına rendelenmiş kaşar peynir serpiştirin peynirlerin üzerine de biraz kekik ve kırmızı pul biber serpiştirin tavanın kapağını kapatıp kaşar peynirler iyice eriyene kadar pişirin
Tavuklu Fırın Makarna,makarna tavuk göğsü tuz su tere yağı un süt karabiber rendelenmiş kaşar peynir tavuk göğsünü parçaya kesip bir tencere içine koyun üzerini parmak geçecek kadar su dökün ardından tatlı kaşığı tuz ekleyip karıştırın tavuk etlerini yumuşayana kadar haşlayın haşladığınız tavuk suyunun içine yarım paket makarna ekleyip karıştırın makarnayı güzelce yumuşayana kadar pişirin diğer tarafta pişen tavuk etlerini küçük küçük parçalara ayırın beşamel sos için derin bir sos tavası içine buçuk yemek kaşığı tereyağı koyup eritin yağın üzerine yemek kaşığı un ekleyin unun kokusu çıkana kadar sürekli karıştırarak kavurun ardından kavurduğunuz unun üzerine su bardağı soğuk sütü azar azar döküp topaklanma olmaması için bir yandan da hızlı bir şeklide karıştırın beşamel sos kaynayıp koyu bir kıvam alana kadar pişirmeye devam edin son olarak damak tadınıza göre tuz ve karabiber koyup karıştırın ardından beşamel sosu ocaktan alın daha sonra küçük kare borcam içine haşlayıp suyunu süzdüğünüz makarnayı koyun makarnanın üzerine küçük küçük parçalara ayırdığınız tavuk etlerini koyun tavukla makarnayı bir kaşık yardımı ile güzelce karıştırın ardından hazırladığınız beşamel sosu tavuklu makarnanın üzerine güzelce dökün tüm harcı güzelce karıştırın son olarak makarnanın her yerine gelecek şekilde rendelenmiş kaşar peynir serpiştirin hazırladığınız beşamel soslu tavuklu makarnayı önceden ısıtılmış derece fırına verin peynirler eriyip güzelce kızarana kadar pişirin tavuklu fırın makarna piştikten sonra dakika kadar dinlenmeye bırakın ardından sıcak olarak servis edebilirsiniz
Abant Kebabı,kuşbaşı et patlıcan domates sivri biber soğan sarımsak zeytinyağı tuz karabiber domates salçası su etleri kızgın bir teflon tencere içine koyun ara ara karıştırarak biraz kavurun etlerin üzerini biraz geçecek kadar su dökün etler suyunu çekip yumuşayana kadar pişirin etler piştikten sonra üzerine yemek kaşığı zeytinyağı dökün adet ince ince doğranmış soğan ve diş ince ince doğranmış sarımsak koyun ara ara karıştırarak dakika kavurun ardından adet ince ince doğranmış domates ve adet ince ince doğranmış sivri biber ekleyin tuz ve karabiber de koyup karıştırın tencerenin kapağını kapatıp orta ateş üzerinde sebzeler yumuşayana kadar pişirin adet orta boy patlıcanı alacalı olarak soyun derin bir tava içine sıvı yağ koyup kızdırın patlıcanları kızgın yağ içinde arkalı önlü kızartın kızaran patlıcanları kağıt havlu üzerine alıp yağının süzülmesini sağlayın kızarttığınız patlıcanları bir fırın kabı içine dizin her birinin üzerine uzunlamına bıçak ile çizikler atıp yavaşça ortalarını açın i ç kısımlarını et harcı ile doldurun üzerlerine birer dilim domates ve biber yerleştirin sosu için bir kap içine yemek kaşığı domates salçası koyun üzerine su bardağı su ve biraz tuz ekleyin salçayı iyice ezerek açın fırın kabının içine sosu dökün adet yağlı kağıdı ıslatıp eliniz ile hafifçe suyunu sıkın kağıdı açıp kabın üzerini örtün önceden ısıtılmış derece fırına verip dakika kadar pişirin daha sonra üzerindeki kağıdı alıp dakika kadar daha pişirin
Beykoz Kebabı,kuşbaşı doğranmış et orta boy patlıcan domates sivri biber soğan sarımsak zeytinyağı tuz karabiber sıvı yağ patates süt tereyağı rendelenmiş kaşar peynir domates salçası su et harcını hazırlayın gr kuşbaşı doğranmış eti kızgın bir teflon tencere içine koyun dakika kadar ara ara karıştırarak kavurun ardından etlerin üzerini biraz geçecek kadar su dökün etler suyunu çekip yumuşayana kadar pişirin etler piştikten sonra üzerine yemek kaşığı zeytinyağı dökün adet ince ince doğranmış soğan ve diş ince ince doğranmış sarımsak ekleyin sürekli karıştırarak dakika kavurun ardından adet ince ince doğranmış domates ve adet ince ince doğranmış sivri biberi de koyun damak tadınıza göre tuz ve karabiber ekleyip karıştırın tencerenin kapağını kapatıp orta ateş üzerinde domates ve biberler yumuşayana kadar pişirin diğer tarafta adet orta boy patlıcanı alacalı olarak soyun derin bir tava içine sıvı yağ koyup kızdırın patlıcanları kızgın yağ içinde arkalı önlü kızartın ardından kızaran patlıcanları kağıt havlu üzerine alın yağının süzülmesini sağlayın patates püresi için adet orta boy patatesin kabuğunu soyup yıkayın büyük küpler halinde kesip orta boy derin bir tencere içine koyun üzerini geçecek kadar su dökün patatesler yumuşayana kadar haşlayın daha sonra haşlanan patateslerin suyunu süzün sıcakken üzerlerine yemek kaşığı tereyağı yemek kaşığı kadar rendelenmiş kaşar peynir biraz tuz ve su bardağı süt ekleyin patatesleri püre haline gelene kadar iyice ezin daha sonra kızaran patlıcanları bir fırın kabı içine koyun her birinin üzerine boylamına bıçak ile çizikler atıp yavaşça ortalarını açın i ç kısımlarını hazırladığınız et harcı ile doldurun üzerlerine patates püresini paylaştırın pürenin üzerine de biraz rendelenmiş kaşar peynir serpiştirin beykoz kebabının sosu için bir kap içine yemek kaşığı domates salçası koyun üzerine su bardağı su ve biraz tuz ekleyin salçayı iyice ezerek açın fırın kabının içine sosu dökün önceden ısıtılmış derece fırına verin üzerleri iyice kızarana kadar pişirin beykoz kebabı piştikten sonra fırından çıkartıp sıcak olarak servis edebilirsiniz
Etli Arap Tava,kuşbaşı et patates soğan sivri biber sarımsak domates domates salçası biber salçası zeytinyağı ılık su tuz karabiber kırmızı pul biber patates soğan ve sarımsağın kabuğunu soyup küçük küpler halinde doğrayın domatesleri ve sivri biberleri küçük küpler şeklinde doğrayın küçük yuvarlak borcam fırın kabının içine kuşbaşı eti koyun etin yanına doğradığınız tüm sebzeleri ekleyin etin ve sebzelerin üzerine domates salçası biber salçası zeytinyağı ılık su tuz karabiber ve kırmızı pul biber koyun tüm malzemeyi eliniz ile güzelce harmanlayın hazırladığınız arap tavasının üzerini yağlı kağıt ile örtün yağlı kağıt üzerini alimünyum folya ile kapatın önceden ısıtılmış derece fırına verin yaklaşık dakika pişirin etli arap tava piştikten sonra üzerindeki yağlı kağıdı ve alimünyum kağıdı alıp kere karıştırın tekrar fırına verip hafifçe üzeri kızarana kadar dakika pişirin
Fırında Beşamel Soslu Mantar,kültür mantarı soğan sarımsak zeytinyağı tuz beşamel sos i çin tereyağı beşamel sos i çin un beşamel sos i çin süt beşamel sos i çin tuz beşamel sos i çin karabiber üzeri i çin rendelenmiş kaşar peynir yarım kilo kültür mantarının kabuğunu soyup nemli bir bez ile güzelce temizleyin mantarları bıçak yardımı ile çok ince olmayacak şekilde dilimleyin orta boy geniş bir tava içine yemek kaşığı zeytinyağı döküp ısıtın isınan yağın üzerine adet orta boy ince ince doğranmış soğan ekleyin soğanları güzelce yumuşayana kadar sürekli karıştırarak kavurun kavrulan soğanların üzerine dilimlediğiniz mantarları ve diş ince ince doğranmış sarımsak ekleyin mantarları orta ateş üzerinde suyunu salıp çekene kadar sürekli karıştırarak pişirin ocaktan almaya yakın damak tadınıza göre tuz ekleyip karıştırın pişen mantarları orta boy bir fırın kabı içine koyun beşamel sos için sos tavası içine yemek kaşığı tereyağı koyup eritin eriyen yağın üzerine buçuk yemek kaşığı un ekleyin unun hafifçe kokusu çıkana kadar kavurun kavrulan unun üzerine buçuk su bardağı sütü azar azar döküp topaklanma olmaması için hızlı bir şekilde karıştırın sosu hafifçe koyulaşana kadar pişirin pişen beşamel sosun üzerine damak tadınıza göre tuz ve karabiber ekleyip karıştırın eğer sosun kıvamı çok fazla koyu ise azar azar süt ekleyip kıvamı açabilirsiniz daha sonra mantarın üzerine hazırladığınız beşamel sosu güzelce dökün sosun üzerine de rendelenmiş kaşar peynir serpiştirin i steğe göre küçük küçük tereyağı parçaları da koyabilirsiniz önceden ısıtılmış derece fırına verin üzeri kızarana kadar pişirin
Fırında Domatesli Kabak,kabak soğan domates sarımsak yeşil biber kırmızı kapya biber zeytinyağı tuz karabiber kabakları yıkayıp kurulayın ve yarım cm kalınlığında halkalar halinde dilimleyin dilimlenmiş kabakların üzerine tuz ve karabiber ekleyin ve eliniz ile güzelce harmanlayın domatesleri soğanları biberleri ve sarımsakları dilimleyin sebzeleri fırın kabı içine sırasıyla kabak soğan ve domates dilimlerini art arda olacak şekilde dizin doğranmış biber ve sarımsakları da ara kısımlara ya da sebzelerin üzerine yerleştirin sebzelerin üzerine biraz tuz serpiştirip zeytinyağı gezdirin fırın kabı içine dizdiğiniz sebzelerin üzerini yağlı kağıt ile örtün önceden ısıtılmış derece fırına verip yaklaşık dakika kadar pişirin daha sonra sebzelerin üzerinden yağlı kağıdı alıp tekrar fırına verin üzerleri hafifçe kızarana kadar dakika daha pişirin
Fırında İstavrit,istavrit balığı mısır unu tuz zeytinyağı i steğe göre balıkları aldığınız yere de ayıklatabilirsiniz balıkları güzelce yıkayın süzgeç içinde bekletip suyunun iyice süzülmesini sağlayın i stavrit balıklarını orta boy geniş bir kaba koyun üzerlerine damak tadınıza göre tuz serpiştirin eliniz ile balıkları güzelce harmanlayarak her yerine tuzun gelmesini sağlayın geniş bir kap içine su bardağı kadar mısır unu koyup hafifçe yayın üzerine balıkları koyup eliniz ile her tarafını mısır ununa güzelce bulayın mısır ununa buladığınız istavrit balıklarını yağlı kağıt serili fırın tepsisi içine dizin üzerlerine güzelce zeytinyağı gezdirin hazırladığınız mısır unlu istavrit balığını önceden ısıtılmış derece fırına verin üzerleri güzelce kızarana kadar yaklaşık dakika kontrollü bir şekilde pişirin
