Tarif_Adi,Kategori,Malzemeler,Yapilis_Adimlari
Patlıcan Kızartması,ana yemek,patlıcan galeta unu un yumurta tuz sıvı yağ,"Patlıcanları yıkayıp, kabuğunu alacalı soyun. Patlıcanları halkalar halinde çok ince olmayacak şekilde dilimleyin. Galeta ununu ve unu karıştırın. Yumurtaları kırıp, çatal ya da tel çırpıcı yardımı ile iyice çırpın. Patlıcan dilimlerini öncelikle arkalı önlü una bulayın. Una buladıktan sonra çırpılmış yumurtaya arkalı önlü bulayın. Son olarak galeta ununa bulayın. Buladığınız patlıcan dilimlerini bir tabak üzerine dizin. Yumurtalı galeta unlu patlıcanları kızgın yağ içine koyup, arkalı önlü kızartın. Kızaran patlıcanları kağıt havlu serili bir tabak üzerine koyup, yağının süzülmesini sağlayın."
Pırasa Kavurması,ana yemek,pırasa havuç soğan sarımsak domates salçası zeytinyağı tuz yoğurt sarımsak,"Pırasayı ayıklayıp yıkayın. Pırasayı halkalar halinde doğrayın. Havucu halkalar halinde kesin. Tencereye zeytinyağı, soğan ve sarımsak koyup kavurun. Tencereye domates salçası koyup kavurun. Tencereye pırasa, havuç ve tuz koyup karıştırın. Tencerenin kapağını kapatıp pişirin. Yoğurt, sarımsak ve tuz ile sos hazırlayın. Pırasa kavurmasını servis tabağına alın ve üzerine sos dökün."
Sebze Spagetti,ana yemek,kabak havuç kırmızı kapya biber zeytinyağı tuz domates salçası domates sarımsak su kavrulmuş kıyma karabiber kırmızı pul biber,"Kabağın baş kısımlarını kesip, yıkayın. Kabakları jülyen sebze doğrayıcısı ya da kabuk soyacağı ile doğrayın. Havucun kabuğunu soyup, aynı şekilde doğrayın. Kırmızı kapya biberinin çekirdeğini temizleyip, bıçak yardımı ile ince uzun şeritler halinde doğrayın. Geniş bir tencere içine zeytinyağı dökün. Yağın üzerine doğradığınız havuçları koyup, 3-4 dakika kavurun. Kavrulan havuçların üzerine doğradığınız kabakları, kırmızı biberi ve biraz tuz ekleyin. Sebzeler yumuşayana kadar ara ara karıştırarak, 5 dakika kadar kavurun. Sosu için; orta boy bir tava içine zeytinyağı ve rendelenmiş sarımsak koyun. Sarımsağı kısa bir süre kavurun. Tavaya domates salçası ekleyip, hafifçe kokusu çıkana kadar kavurun. Tavaya rendelenmiş domates, su, tuz, karabiber, kırmızı pul biber ve kavrulmuş kıyma koyun. Sosu ara ara karıştırarak, 5-6 dakika pişirin. Kıymalı domates sosu piştikten sonra sebze spagettinin üzerine dökün. Sebze spagettiyi sosla beraber güzelce karıştırın. Hazırladığınız kıymalı sebze spagettiyi servis tabağına koyun. Üzerine çırpılmış yoğurt döküp, ince ince doğranmış dereotu serpiştirip, servis edebilirsiniz."
Tavada Brüksel Lahanası,ana yemek,brüksel lahanası zeytinyağı kırmızı pul biber kırmızı toz biber karabiber tuz sarımsak tozu,"Brüksel lahanalarının dış yapraklarını temizleyip, baş kısımlarını çok derine inmeden hafifçe kesin. Baş kısımlarını kökünden keserseniz yaprakları ayrılır. Daha sonra sirkeli su içinde yarım saat kadar bekletip, suyunu süzün. Suyunu süzdüğünüz brüksel lahanalarını uzunlamasına ortadan ikiye bölün. Ardından brüksel lahanalarını bir kap içine koyun. Üzerine 4-5 yemek kaşığı zeytinyağı dökün. Daha sonra 1 çay kaşığı kırmızı pul biber, 1 çay kaşığı kırmızı toz biber, yarım çay kaşığı karabiber ve yarım çay kaşığı tuz ekleyin. Brüksel lahanaları baharatları ve yağı ile birlikte elinizle güzelce harmanlayın. Son olarak geniş bir tava içine soslu brüksel lahanaları iç kısımları altta kalacak şekilde yan yana dizin. Tavanın kapağını kapatın. Orta kısık ateş üzerinde brüksel lahanaların alt tarafları hafifçe kızarana kadar pişirin. Daha sonra brüksel lahanalarını ters çevirip, üzerlerine yarım çay kaşığı kadar sarımsak tozu serpiştirin. Tekrar tavanın kapağını kapatıp, diğer yüzünün de kızarmasını sağlayın."
Tavuklu Pırasa Yemeği,ana yemek,kuşbaşı doğranmış tavuk eti orta boy pırasa orta boy havuç orta boy soğan domates salçası zeytinyağı tuz karabiber,"Pırasaların ilk katını soyup, yıkayın. Pırasaları 2 parmak kalınlığında kesin. Tencereye zeytinyağı dökün. Soğanı kavurun. Tavuk etini ekleyin ve pişirin. Havucu ekleyin ve kavurun. Pırasa ve domates salçasını ekleyin. Yemeği karıştırın ve su, tuz ve karabiber ekleyin. Tencerenin kapağını kapatıp, kaynamaya bırakın. Pırasa ve havuçlar yumuşayana kadar pişirin."
Tepside Kumpir,ana yemek,patates rendelenmiş kaşar peynir tereyağı tuz karabiber havuç haşlanmış bezelye haşlanmış mısır kornişon turşu ketçap mayonez,"Haşlanan havucu minik küpler halinde kesip, bir kap içine koyun. Havucun üzerine 1 buçuk çay bardağı haşlanmış bezelye, 1 buçuk çay bardağı haşlanmış mısır ve 4 adet küpler halinde doğranmış kornişon turşu ekleyin. Tüm harcı iyice karıştırın. Patatesleri iyice ezerek, püre haline getirin. Küçük yuvarlak borcam içine patatesli harcı koyup, eliniz ile eşit bir şekilde yayın. İyice ısınması için önceden ısıtılmış 190 derece fırına verin. Yaklaşık 5-6 dakika kadar ısınmasını sağlayın. Ardından patatesi fırından çıkartıp, üzerine hazırladığınız garnitürü yayın. Hazırladığınız tepside kumpirin üzerine ketçap ve mayonez döküp, hiç bekletmeden sıcak olarak servis edebilirsiniz."
Yoğurtlu Patates Mantısı,ana yemek,patates maydanoz tuz karabiber yoğurt sarımsak sıvı yağ domates salçası su,"İlk olarak 4 adet orta boy patatesi kabukları ile birlikte iyice yıkayın. Daha sonra kabuklarını soyun. Geniş bir kap içinde patatesleri püre ezicisi ya da çatal yardımı ile iyice ezin. Üzerine yarım demet ince ince doğranmış maydanoz, tuz, karabiber ve kırmızı pul biber ekleyin. Harcı eliniz ile karıştırın. Karışımın biraz soğumasını sağlayın ki şekli daha kolay verebilesiniz. Patatesli karışımdan mandalina büyüklüğünde parçalar alın. Elinizde yuvarlayıp, servis tabağına koyun. Yoğurtlu sos için; bir kap içine 1 kase yoğurt, 2 diş rendelenmiş sarımsak ve az miktar tuz ekleyip, iyice karıştırın. Yuvarladığınız patateslerin orta kısmını parmağınız ile hafifçe bastırarak, çanak şeklinde açın. Patates çanaklarının içini yoğurtlu sos ile doldurun. Son olarak küçük bir tava içine 3 yemek kaşığı zeytinyağı ve 1 tatlı kaşığı domates salçası koyun. Ocak üzerine alıp, biraz kavurun. Kavurma esnasında salçayı açmak için 2 yemek kaşığı kadar su ekleyin. Hazırladığınız yoğurtlu patates mantısının üzerine salçalı sosu paylaştırıp, servis edebilirsiniz."
Yufkasız Kabak Böreği,ana yemek,kabak yumurta dereotu kabartma tozu un karabiber kırmızı pul biber tuz kaşar peynir,"Derin bir kap içine 3 adet yumurta kırın. Yumurtaları tel çırpıcı yardımı ile iyice çırpın. Kaba 3 tutam ince ince doğranmış dereotu, 4 yemek kaşığı dolusu un, 1 paket kabartma tozu, 1 çay kaşığı tuz, damak tadınıza göre karabiber ve kırmızı pul biber koyun. Malzemeleri tel çırpıcı yardımı ile güzelce karıştırın. 4 adet küçük boy kabağı rendenin iri tarafı ile rendeleyin. Rendelenmiş kabakların suyunu eliniz ile iyice sıkıp, kabın içine ekleyin. Tüm malzemeleri spatula yardımı ile güzelce karıştırın. Hazırladığınız yufkasız kabak böreği harcını yağlı kağıt serili küçük dikdörtgen fırın kabı içine döküp, spatula yardımı ile güzelce yayın. Önceden ısıtılmış 190 derece fırına verin. Yaklaşık 20 dakika üzeri hafifçe kızarana kadar pişirin. Kabak böreği piştikten sonra fırından çıkartıp, üzerine rendelenmiş kaşar peynir serpiştirin. Tekrardan önceden ısıtılmış fırına verin. Üzeri kızarana kadar pişirin. Yufkasız kabak böreği piştikten sonra 5 dakika dinlenmeye bırakın. Ardından dilimleyerek, servis edebilirsiniz."
Zeytinyağlı Ayvalı Kereviz,ana yemek,kereviz ayva havuç soğan portakal limon suyu toz şeker zeytinyağı su tuz kereviz yaprağı,"Suyun içine 1 adet sıkılmış limon suyu ve limonun kendi kabuklarını ekleyip, karıştırın. 3 adet orta boy kerevizin kabuğunu soyup, orta büyüklükte küpler şeklinde doğrayın. 1 adet orta boy ayvanın kabuğunu soyup, orta büyüklükte dilimleyin. Doğradığınız kereviz ve ayvaları kararmamaları için başta hazırladığınız limonlu su içine koyun. Geniş bir tencere içine yarım çay bardağı kadar zeytinyağı koyun. Üzerine 1 adet orta boy ince ince doğranmış soğan ekleyip, 1 dakika kavurun. Ardından tencereye 2 adet orta boy küçük küpler şeklinde doğranmış havuçları koyun. Havuçları da 2 dakika kadar soğanlar ile birlikte kavurmaya devam edin. Daha sonra limonlu su içinde beklettiğiniz kereviz ve ayvaları alıp, tencere içine koyun. Diğer tarafta 1 adet portakal ve yarım limonun suyunu sıkın. Portakal ve limon suyunun üzerine 1 su bardağı su, damak tadınıza göre tuz ve 1 yemek kaşığı toz şeker ekleyip, iyice karıştırın. Ardından portakallı su karışımını yemeğin üzerine gezdirerek, dökün. Hazırladığınız portakallı ayvalı kereviz yemeğini kaynamaya bırakın. Kaynadıktan sonra kısık ateş üzerinde sebzeler güzelce yumuşayana kadar pişirin. Zeytinyağlı ayvalı kereviz yemeği piştikten sonra ocaktan alıp, oda ısısında soğumaya bırakın. Soğuduktan sonra üzerini 1 tutam ince ince doğranmış kereviz yaprağı ile süsleyerek, servis edebilirsiniz."
Zeytinyağlı Kabak Kavurması,ana yemek,kabak soğan havuç kırmızı kapya biber domates sarımsak zeytinyağı tuz kırmızı pul biber,"Kabakları alacalı soyup, küpler halinde doğrayın. Havucunu kabuğunu soyup, küpler halinde kesin. Soğan ve sarımsağı ince ince doğrayın. Kırmızı kapya biberi küçük küçük doğrayın. Geniş orta boy bir tencere içine zeytinyağı dökün. Üzerine doğranmış soğan ve sarımsakları koyup, 2 dakika kavurun. Ardından doğranmış havuç ve kırmızı kapya biberi ekleyin. Havuç ve biberi 2-3 dakika kadar kavurun. Daha sonra tencereye doğranmış kabakları koyup, karıştırın. Tencerenin kapağını kapatıp, 5 dakika ara ara karıştırarak kavurun. Kavrulan kabakların üzerine domates, tuz ve kırmızı pul biber koyup, karıştırın. Tencerenin kapağını kapatın. Kabaklar yumuşayana kadar pişirin. Zeytinyağlı kabak kavurması piştikten sonra ocaktan alıp, ılımaya bırakın. Üzerine dereotu serpiştirip, servis edebilirsiniz."
Zeytinyağlı Taze Fasulye Oturtma,ana yemek,taze fasulye domates soğan zeytinyağı su toz şeker tuz,"Taze fasulyeleri ayıklayıp temizleyin. Domateslerin kabuklarını soyup, minik küpler halinde kesin. Soğanların kabuklarını soyup, ince ince doğrayın. Taze fasulyeleri tam ortadan ikiye kesin. Tencerenin ortasına kestiğiniz yarım domatesi koyun. Taze fasulyeleri domatesin etrafına tek sıra halinde dizin. Hazırladığınız domatesli soğanlı sosun birazını fasulyelerin üzerine gezdirin. 1 sıra daha taze fasulye dizip, tekrar üzerine sos dökün. Bu şekilde 1 kere daha dizip, kalan sosun tamamını taze fasulyelerin üzerine dökün. Fasulyelerin üzerine bir tabak oturtup, ocak üzerine alın. Orta ateş üzerinde kaynamaya bırakın. Kaynadıktan sonra ocağın altını kısıp, 45-50 dakika kadar pişirin. Fasulyeler suyunu çekene kadar pişirmeye devam edin. Fasulyeler suyunu çektikten sonra ocaktan alıp, oda ısısında soğumaya bırakın. Daha sonra zeytinyağlı taze fasulyenin üzerine tabak kapatın. Dikkatli bir şekilde ters çevirin."
Börülce Kavurması,ana yemek,taze börülce zeytinyağı tere yağı soğan domates tuz,"Börülceyi ayıklayıp, yıkayın. Bıçak yardımı ile uzunluklarına göre 3-4 parçaya bölün. Su kaynadıktan sonra içine tuz ve taze börülceleri ekleyin. Börülceleri yumuşayana kadar haşlayın. Haşlanan taze börülcelerin suyunu süzün. Diğer tarafta orta boy geniş bir tencere içine yarım çay bardağı zeytinyağı ve 1 yemek kaşığı tereyağı koyup, ısıtın. Isınan yağın üzerine 1 adet ince ince doğranmış soğan ekleyin. Soğanı yaklaşık 5 dakika kadar kavurun. Kavrulan soğanın üzerine 1 adet orta boy küçük küpler halinde doğranmış domatesi koyun. Domatesler suyunu salıp, hafifçe çekene kadar kavurun. Daha sonra tencereye haşlanmış börülceleri ekleyin. Damak tadınıza göre tuz ve dilediğiniz baharatları koyup, 2-3 kere karıştırın. Tencerenin kapağını kapatıp, kısık ateş üzerinde ara ara karıştırarak, 6-7 dakika kadar pişirin."
Enginar Salatası,salata,enginar maydanoz dereotu kornişon turşu garnitür mısır kırmızı biber limon suyu sızma zeytinyağı tuz,"5 adet enginarı limonlu su içinde haşlayın. Haşlandıktan sonra suyunu süzün. Soğumaya bırakın. Soğuyan enginarları büyük küpler şeklinde kesin. Daha sonra kaba 3 tutam ince ince doğranmış maydanoz ve dereotunu koyun. 1 adet küçük küçük doğranmış kırmızı biber ve 4 adet küçük küçük doğranmış kornişon turşuyu koyun. Son olarak kaba damak tadınıza göre tuz, yarım limon suyu, 4-5 yemek kaşığı zeytinyağı ekleyip, enginar salatasını güzelce karıştırın. Hazırladığınız enginar salatasını servis tabağına koyup, servis edebilirsiniz."
Etli Terbiyeli Kereviz Yemeği,ana yemek,kereviz patates havuç kuşbaşı et zeytinyağı soğan tuz karabiber yumurta sarısı limon suyu,"Tencereye zeytinyağı dökün, soğanı ekleyin ve 2 dakika kavurun. Havuçları ve patatesleri ekleyin, 2 dakika daha kavurun. Kerevizleri ekleyin, üzerini geçecek kadar sıcak su koyun, kaynamaya bırakın. 10 dakika kaynadıktan sonra eti, tuz ve karabiberi ekleyin, karıştırın. Sebzeler yumuşayana kadar 15 dakika pişirin. Terbiye için yumurta sarısı ve limon suyunu karıştırın, yemeğin suyundan bir kepçe ekleyin, ılımasını sağlayın. Terbiyeyi azar azar dökün, hızlı bir şekilde karıştırın. 1-2 taşım kaynatın, ocağın altını kapatın."
Fırında Beşamel Soslu Karnabahar Graten,ana yemek,karnabahar tuz Beşamel Sos İçin Üzeri İçin,"1 adet orta boy karnabaharı dallarına ayırıp, iyice yıkayın. Daha sonra karnabaharları derin bir tencere içine alın. Üzerlerine çıkacak kadar su döküp, az miktar da tuz serpiştirin. Kaynamaya bırakın. Kaynadıktan sonra ocağın altını kısıp, 20 dakika kadar haşlayın. Karnabaharlar yumuşadıktan sonra sonra suyunu süzüp, kenara alın. Beşamel sos için; küçük bir tencereye 2 yemek kaşığı tereyağ koyup, eritin. Eriyen yağın üzerine 2 yemek kaşığı un ekleyin. Unun kokusu çıkana kadar yaklaşık 2 dakika kavurun. Daha sonra kavrulan unun üzerine 2 su bardağı kadar sütü azar azar döküp, unun topaklanmaması için sürekli karıştırın. Beşamel sos koyu bir kıvam alana kadar kısık ateş üzerinde pişirin. Son olarak tuz ve karabiberini de ekleyip, ocaktan alın. Haşladığınız karnabaharları orta boy bir fırın kabı içine dizin. Üzerine beşamel sosu gezdirerek, dökün. Sosun her yere eşit bir şekilde gelmesini sağlayın. Son olarak karnabaharların üzerine bolca rendelenmiş kaşar peynir serpiştirin. Küçük küçük parçalar halinde 1 tatlı kaşığı kadar tereyağı ekleyin. Önceden ısıtılmış 180 derece fırına verin. Üzeri kızarana kadar 10-12 dakika kadar pişirin."
Fırında Tereyağlı Patates Kızartması,ana yemek,patates tere yağı zeytinyağı tuz,"Patateslerin kabuğunu soyup, yıkayın. Patatesleri elma dilimi halinde dilimleyin. Patateslerin üzerine tuz serpiştirin. Patateslerin üzerine eritilmiş tereyağı ve zeytinyağı dökün. Patatesleri harmanlayın. Fırın kabı içine yağlı kağıt serin. Tereyağlı patatesleri fırın kabı içine yayın. Önceden ısıtılmış 190 derece fırına verin. Üzerleri kızarana kadar yaklaşık 25 dakika pişirin."
Havuçlu Kabak Mücver,atıştırmalık,kabak havuç yumurta maydanoz dereotu taze soğan un kabartma tozu tuz karabiber sıvı yağ,"Maydanoz, dereotu ve taze soğanı ince ince doğrayın. Kabakların kabuğunu soyup, rendenin iri tarafı ile rendeleyin. Havucun kabuğunu soyup, rendeleyin. Rendelediğiniz sebzelerin üzerine yumurta, yeşillikler, un, kabartma tozu, tuz ve karabiber ekleyin. Tüm mücver harcını kaşık yardımı ile iyice karıştırın. Geniş bir tava içine sıvı yağ koyup, kızdırın. Mücver harcı kaşık yardımı ile yağın içine koyup, alt tarafları kızarana kadar pişirin. Altları iyice kızaran mücverleri ters çevirip, diğer yüzlerini de kızartın. Mücverleri kağıt havlu serili tabağa koyup, fazla yağını çektirin."
Ispanaklı Havuç Tarator,ana yemek,ıspanak havuç yoğurt zeytinyağı sarımsak tuz ceviz kırmızı pul biber kırmızı toz biber,"1 demet ıspanağı ayıklayıp, ince ince doğrayın. Bol su içinde iyice yıkayıp, süzmeye bırakın. 4 adet orta boy havucun kabuğunu soyup, rendeleyin. Rendelediğiniz havuçları orta boy geniş bir tava içine koyun. Üzerine 3 yemek kaşığı zeytinyağı ekleyin. Orta ateş üzerinde yumuşayana kadar ara ara karıştırarak, pişirin. Havuçlar piştikten sonra üzerine doğranmış ıspanakları koyun. Ispanaklar suyunu çekene kadar sürekli karıştırarak, kavurun. Havuçlu ıspanaklı karışım piştikten sonra bir kap içine alıp, soğumaya bırakın. Soğuduktan sonra üzerine 1 su bardağı yoğurt, 1-2 diş rendelenmiş sarımsak ve damak tadınıza göre tuz ekleyip, güzelce karıştırın. Son olarak küçük bir sos tavası içine 3 yemek kaşığı orta dövülmüş ceviz koyun. Üzerine 3-4 yemek kaşığı zeytinyağı döküp, kısa bir süre kavurun. Ardından biraz pul biber ve kırmızı toz biber koyup, 2-3 kere çevirip, ocaktan alın. Hazırladığınız ıspanaklı havuç taratoru servis tabağına koyup, yayın. Üzerine cevizli yağ karışımını gezdirip, servis edebilirsiniz."
Kabak Mücver,atıştırmalık,kabak yumurta dereotu maydanoz un kabartma tozu tuz karabiber sıvıyağ,"Kabakların kabuğunu soyup, rendeleyin. Suyunu iyice sıkıp, karıştırma kabına alın. Rendelenmiş kabakların üzerine 2 adet yumurta kırın. Ardından 1 çay kaşığı kabartma tozu, 3 tutam ince ince doğranmış dereotu, 3 tutam ince ince doğranmış maydanoz ve 2-3 yemek kaşığı un ekleyin. Damak tadınıza göre tuz ve karabiber de koyun. Kabaklı harcı iyice karıştırın. Geniş bir tava içine sıvı yağ koyup, hafifçe kızdırın. Kabak mücveri karışımından 1 yemek kaşığı alıp, yağın içine koyun. Üzerlerine hafifçe bastırın. Mücverlerin her iki tarafını pişirin. Kabak mücveri piştikten sonra havlu kağıt serili bir tabak üzerine koyup, yağlarının süzülmesini sağlayın."
Kahvaltılık Tereyağlı Patates Kavurması,kahvaltı,patates tereyağı zeytinyağı maydanoz kekik kırmızı pul biber karabiber tuz,"Patatesleri haşlayın ve suyunu süzün. Patatesleri soğumaya bırakın. Patatesleri iri küpler halinde kesin. Tencereye tereyağı ve zeytinyağı koyun. Tereyağını eritin. Kekik, kırmızı pul biber, tuz ve karabiber koyup karıştırın. Doğranmış patatesleri tencereye koyun. Ara ara karıştırarak 1-2 dakika kadar kavurun. Üzerine maydanoz serpiştirip karıştırın."
Kibrit Patates Kızartması,atıştırmalık,patates sıvı yağ elma sirkesi tuz,"Patateslerin kabuğunu soyup, güzelce yıkayın. Patatesleri bıçak yardımı ile kibrit çöpü büyüklüğünde dilimleyin. Dilimlediğiniz patatesleri suyun içine koyup, güzelce karıştırın. Patatesleri suyun içinde 20 dakika kadar bekletin. Patateslerin suyunu süzüp, 1-2 sudan tekrar geçirin. Patatesleri kağıt havlu üzerine alıp, iyice kurumasını sağlayın. Patatesleri kızgın yağ içine koyun. Patatesleri 1-2 kere karıştırıp, altın rengi alana kadar 2-3 dakika kızartın."
Kremalı Kabak Graten,ana yemek,kabak sıvı krema sarımsak tuz karabiber kaşar peynir,"Kabakları alacalı soyup, yıkayın. Kabakları halkalar halinde dilimleyin. Dilimlediğiniz kabakları bir kap içine alın. Kabakların üzerine yarım paket sıvı krema, 1 çay kaşığı karabiber, 1 çay kaşığı tuz ve 1 diş rendelenmiş sarımsak ekleyin. Kabak dilimlerini, üzerine eklediğiniz malzemeler ile iyice karıştırın. Küçük bir fırın kabının tabanını az miktar yağlayın. Fırın kabının içine kremalı kabak harcını koyup, güzelce yayın. Kremalı kabak harcının üzerine rendelenmiş kaşar peynir serpiştirin. Önceden ısıtılmış 180 derece fırına verin. Üzeri iyice kızarana kadar yaklaşık 20 dakika kadar pişirin. Kremalı kabak graten piştikten sonra fırından alıp, 5 dakika kadar dinlenmeye bırakın. Ardından sıcak olarak servis edebilirsiniz."
Mantar Sosu ve Mantar Sote,ana yemek,kültür mantarı sıvı krema zeytinyağı tereyağı sarımsak maydanoz tuz karabiber soğan yeşil biber kapya biber rendelenmiş domates,"Mantarları soyup, dilimleyin. Sarımsak ve maydanozu doğrayın. Tereyağı ve zeytinyağını ısıtın. Sarımsakları kavurun. Mantarları ekleyin ve suyunu salıp çekene kadar pişirin. Krema, tuz ve karabiber ekleyin. Krema koyulaşana kadar pişirin. Maydanoz ekleyin ve karıştırın. Soğanı kavurun. Sarımsak ve biberleri ekleyin. Mantarları ekleyin ve suyunu salıp çekene kadar pişirin. Rendelenmiş domates, tuz ve karabiber ekleyin. 2 dakika kadar pişirin. Maydanoz serpiştirip servis edin."
Mısır Unlu Patlıcan Kızartması,ana yemek,patlıcan mısır unu tuz sıvı yağ,"4 adet orta boy patlıcanın kabuğunu soyun. Her bir patlıcanı uzunlamasına dörde bölün. Geniş bir tencere içine yeteri miktarda su koyup, kaynamaya bırakın. Su kaynadıktan sonra içine biraz tuz ve doğradığınız patlıcanları ekleyin. Patlıcanları yumuşayana kadar yaklaşık 10-12 dakika haşlayın. Patlıcanlar yumuşadıktan sonra suyunu iyice süzüp, soğumaya bırakın. Bir tabak üzerine 1 su bardağı kadar mısır unu ve mısır ununun üzerine damak tadınıza göre tuz ekleyip, karıştırın. Haşladığınız patlıcan dilimlerini arkalı önlü mısır ununa bulayın. Buladığınız mısır unlu patlıcanları bir tabak üzerine dizin. Mısır unlu patlıcanları kızgın yağ içinde arkalı önlü kızartın. Mısır unlu patlıcan kızartmasını kağıt havlu serili bir tabak üzerine koyup, yağının süzülmesini sağlayın."
Nohut Dürüm,ana yemek,Nohut Zeytinyağı Biber Salçası Kırmızı Toz Biber Karabiber Pul Biber Kimyon Tuz Soğan Maydanoz Limon Suyu Lavaş,"Akşamdan 2 su bardağı nohutu derin bir kap içine koyun. Üzerini hafifçe geçecek kadar su döküp, 1 gece bu şekilde bekletin. Ertesi gün nohutun bekletildiği suyu dökün. Tencereye koyup, tekrar üzerini örtecek kadar su dökün. Ocak üzerine alıp, kaynamaya bırakın. Kaynadıktan sonra kısık ateş üzerinde nohutlar iyice yumuşayıp, dağılana kadar pişirin. Haşladığınız nohutu bir kase içine koyun. Nohutlar henüz sıcakken çatal yardımı ile güzelce ezin. Daha sonra orta boy geniş bir tava içine 5 yemek kaşığı zeytinyağı dökün. Yağın üzerine 1 yemek kaşığı kadar biber salçası koyun. Salçanın hafifçe kokusu çıkana kadar kavurun. Kavrulan salçanın üzerine ezdiğiniz nohutları koyun. Ardından nohutun üzerine 1 çay kaşığı kırmızı toz biber, 1 çay kaşığı karabiber, 1 çay kaşığı pul biber, 1 çay kaşığı kimyon ve 1 çay kaşığı dolusu tuz ekleyin. Nohutu, salça ve baharatlar ile güzelce karıştırıp, ocaktan alın. Diğer tarafta 1 adet orta boy kırmızı soğanı ay şeklinde piyazlık doğrayın. Yarım demet maydanozu da çok ince olmayacak şekilde doğrayın. Soğanı ve maydanozu bir kap içine koyun. Üzerine yarım limon suyu, biraz zeytinyağı ve biraz tuz ekleyin. Soğanlı harcı eliniz ile hafifçe ovuşturarak, karıştırın. Son olarak lavaşları hafifçe ısıtıp, tezgah üzerine serin. Orta kısımlarına nohutlu karışımdan istediğiniz miktarda koyun. Nohutlu karışımın üzerine de soğan salatasından ekleyin. Bu aşamada isteğe göre doğranmış taze soğan, marul ve taze nane de kullanabilirsiniz. Lavaşı rulo şeklinde güzelce sarın. Malzemeler bitene kadar aynı işlemi tekrar edin. Hazırladığınız nohutlu dürümleri ortadan ikiye kesip, yanında ayran ile servis edebilirsiniz."
Patatesli Ispanak Yemeği,ana yemek,ıspanak patates soğan domates salçası zeytinyağı Kırmızı toz biber Karabiber Tuz,"yarım kilo ıspanağı ayıklayıp, bol su içerisinde iyice yıkayın. ıspanağı bıçak yardımı ile ince ince doğrayın. 1 adet orta boy soğanı da ince ince doğrayın. 1 adet orta boy patatesin kabuğunu soyup, küçük küpler halinde doğrayın. Geniş bir tencere içine doğranmış soğanı koyun. Üzerine 4-5 yemek kaşığı zeytinyağı dökün. Soğanları 3 dakika sürekli karıştırarak, kavurun. Ardından kavrulan soğanın üzerine 1 tatlı kaşığı domates salçası koyun. Salçanın kokusu çıkana kadar kavurmaya devam edin. Daha sonra kavrulan salçanın üzerine doğranmış patatesleri ekleyin. Patatesleri de 1-2 dakika ara ara karıştırarak, kavurun. Ardından tencereye doğranmış ıspanakları ekleyin. Ispanakları hafif sönene kadar karıştırın. Son olarak tencereye damak tadınıza göre tuz, karabiber, kırmızı toz biber ve ıspanakların üzerlerine hafifçe çıkacak kadar sıcak su döküp, karıştırın. Tencerenin kapağını kapatıp, kaynamaya bırakın. Kaynadıktan sonra kısık ateş üzerinde patatesler yumuşayana kadar pişirin. Patatesli ıspanak yemeği piştikten sonra ocaktan alıp, hafifçe ılımaya bırakın. Daha sonra servis edebilirsiniz."
Pirinçli Ispanak Yemeği,ana yemek,ıspanak soğan pirinç domates salçası zeytinyağı sıcak su tuz,"Ispanakları ayıklayın, yıkayın ve süzün. Ispanakları ince ince doğrayın. Tencereye zeytinyağı dökün, soğanı koyun ve 2-3 dakika karıştırarak kavurun. Domates salçası ekleyin ve kokusu çıkana kadar kavurun. Ispanakları koyun ve hafifçe sönene kadar karıştırın. Pirinç, tuz ve sıcak su ekleyin, karıştırın. Kapağı kapatıp kaynamaya bırakın, pirinçler şişene kadar pişirin."
Sebzeli Mantar Yemeği,ana yemek,kültür mantarı soğan kırmızı kapya biber yeşil biber havuç domates sarımsak zeytinyağı tuz karabiber kekik,"400 gr kültür mantarını temizleyip, çok küçük olmayacak şekilde dilimleyin. 1 adet küçük boy soğanı ve 1 diş sarımsağı ince ince doğrayın. 1 adet kırmızı kapya biber, 1 adet yeşil biber, 1 adet küçük boy havuç ve 1 adet domatesi küçük küçük doğrayın. Orta boy geniş bir tencere içine 4 yemek kaşığı zeytinyağı koyun. Üzerine doğranmış soğanı ekleyip, 2 dakika kavurun. Ardından tencereye doğranmış biberleri ve havuçları koyun. Ara ara karıştırarak, 3-4 dakika pişirin. Daha sonra doğranmış domatesi ve sarımsağı ekleyin. Tekrar ara ara karıştırarak, 3 dakika kadar pişirmeye devam edin. Son olarak tencereye doğranmış mantarları, damak tadınıza göre tuz, karabiber ve kekik koyun. Sebzeli mantar yemeğini 2 dakika kadar ara ara karıştırıp, kavurun. Daha sonra tencerenin kapağını kapatın. Kısık ateş üzerinde mantarlar suyunu hafifçe çekene kadar pişirin."
Semizotu Yemeği,ana yemek,semizotu soğan pirinç zeytinyağı domates salçası su tuz,"Semizotunu ayıklayıp, bol su içerisinde yıkayın. Semizotunu iri parçalar halinde kesin. Tencereye zeytinyağı, soğan ve domates salçası ekleyip kavurun. Semizotu, pirinç, tuz ve su ekleyip karıştırın. Tencerenin kapağını kapatıp, yemeği kaynamaya bırakın. Kaynadıktan sonra ocağın altını kısıp, 15-20 dakika kadar pişirin."
